//B12 is off which is different
TDCchannel,hodoChannel,inputPort,VHDname
00,H4Y1L16,D00,D00
01,H4Y1L15,D01,D01
02,H4Y1L14,D02,D02
03,H4Y1L13,D03,D03
04,H4Y1L12,D04,D04
05,H4Y1L11,D05,D05
06,H4Y1L10,D06,D06
07,H4Y1L09,D07,D07
08,H4Y1R16,D08,D08
09,H4Y1R15,D09,D09
10,H4Y1R14,D10,D10
11,H4Y1R13,D11,D11
12,H4Y1R12,D12,D12
13,H4Y1R11,D13,D13
14,H4Y1R10,D14,D14
15,H4Y1R09,D15,D15
16,H4Y2L16,D16,E00
17,H4Y2L15,D17,E01
18,H4Y2L14,D18,E02
19,H4Y2L13,D19,E03
20,H4Y2L12,D20,E04
21,H4Y2L11,D21,E05
22,H4Y2L10,D22,E06
23,H4Y2L09,D23,E07
24,H4Y2R16,D24,E08
25,H4Y2R15,D25,E09
26,H4Y2R14,D26,E10
27,H4Y2R13,D27,E11
28,H4Y2R12,D28,E12
29,H4Y2R11,D29,E13
30,H4Y2R10,D30,E14
31,H4Y2R09,D31,E15
32,XXXXX,B00,XXX
33,XXXXX,B01,XXX
34,XXXXX,B02,XXX
35,H2L19,B03,B00
36,H2L18,B04,B01
37,H2L17,B05,B02
38,H2L16,B06,B03
39,H2L15,B07,B04
40,H2L14,B08,B05
41,H2L13,B09,B06
42,H2L12,B10,B07
43,H2L11,B11,B08
44,H2L10,B12,B09
45,XXXXX,B13,XXX
46,XXXXX,B14,XXX
47,XXXXX,B15,XXX
48,XXXXX,B16,XXX
49,XXXXX,B17,XXX
50,XXXXX,B18,XXX
51,H2R19,B19,B10
52,H2R18,B20,B11
53,H2R17,B21,B12
54,H2R16,B22,B13
55,H2R15,B23,B14
56,H2R14,B24,B15
57,H2R13,B25,B16
58,H2R12,B26,B17
59,H2R11,B27,B18
60,H2R10,B28,B19
61,XXXXX,B29,XXX
62,XXXXX,B30,XXX
63,XXXXX,B31,XXX
64,RFCLOCK,G00,XXX
65,STOP,G01,XXX
66,XXXXX,A02,XXX
67,H1L20,A03,A00
68,H1L19,A04,A01
69,H1L18,A05,A02
70,H1L17,A06,A03
71,H1L16,A07,A04
72,H1L15,A08,A05
73,H1L14,A09,A06
74,H1L13,A10,A07
75,H1L12,A11,A08
76,H1L11,A12,A09
77,XXXXX,A13,XXX
78,XXXXX,A14,XXX
79,XXXXX,A15,XXX
80,XXXXX,A16,XXX
81,XXXXX,A17,XXX
82,XXXXX,A18,XXX
83,H1R20,A19,A10
84,H1R19,A20,A11
85,H1R18,A21,A12
86,H1R17,A22,A13
87,H1R16,A23,A14
88,H1R15,A24,A15
89,H1R14,A25,A16
90,H1R13,A26,A17
91,H1R12,A27,A18
92,H1R11,A28,A19
93,XXXXX,A29,XXX
94,XXXXX,A30,XXX
95,XXXXX,A31,XXX

